activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1424130,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(NC(=O)c1ccc(C(C)(C)C)cc1)c1ccc(OCOCC[Si](C)(C)C)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '7.98', 'le': None, 'lle': None, 'sei': None}",CHEMBL179549,,CHEMBL179549,4.57,False,http://www.openphacts.org/units/Nanomolar,366176,=,1,True,=,,IC50,nM,,27000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,27.0
,1424131,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(NC(=O)c1ccccc1)c1ccc(C(C)(C)C)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.80', 'le': '0.18', 'lle': '-1.30', 'sei': '8.46'}",CHEMBL360920,,CHEMBL360920,4.18,False,http://www.openphacts.org/units/Nanomolar,366182,=,1,True,=,,IC50,nM,,66000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,66.0
,1424132,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCOC1(c2ccccc2)c2ccccc2C(=O)N1C(Cc1ccc(O)cc1)C(=O)OC,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.08', 'le': '0.17', 'lle': '-0.21', 'sei': '5.32'}",CHEMBL182052,,CHEMBL182052,4.05,False,http://www.openphacts.org/units/Nanomolar,366189,=,1,True,=,,IC50,nM,,90000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,90.0
,1424135,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,OCC(NC1(c2ccccc2)c2ccccc2CC1Cc1ccccc1)C(O)c1ccccc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.05', 'le': '0.16', 'lle': '-0.96', 'sei': '7.75'}",CHEMBL179662,,CHEMBL179662,4.07,False,http://www.openphacts.org/units/Nanomolar,366201,=,1,True,=,,IC50,nM,,85000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,85.0
,1424136,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.74', 'le': '0.16', 'lle': '-3.02', 'sei': '13.66'}",CHEMBL181688,,CHEMBL181688,4.04,False,http://www.openphacts.org/units/Nanomolar,366206,=,1,True,=,,IC50,nM,,92000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,92.0
,1424137,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C(O)CNC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.94', 'le': '0.16', 'lle': '-0.73', 'sei': '6.72'}",CHEMBL179114,,CHEMBL179114,4.16,False,http://www.openphacts.org/units/Nanomolar,366211,=,1,True,=,,IC50,nM,,70000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,70.0
,1424233,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1c2ccccc2C(OCCCO)(c2ccc(Cl)cc2)N1Cc1ccccc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '11.76', 'le': '0.23', 'lle': '0.20', 'sei': '9.64'}",CHEMBL360719,,CHEMBL360719,4.80,False,http://www.openphacts.org/units/Nanomolar,366216,=,1,True,=,,IC50,nM,,15900.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,15.9
,1424234,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.74', 'le': '0.16', 'lle': '-3.02', 'sei': '13.66'}",CHEMBL181688,,CHEMBL181688,4.04,False,http://www.openphacts.org/units/Nanomolar,366222,=,1,True,=,,IC50,nM,,92000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,92.0
,1424235,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)NCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccccc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.63', 'le': '0.19', 'lle': '-0.14', 'sei': '8.28'}",CHEMBL360141,,CHEMBL360141,4.85,False,http://www.openphacts.org/units/Nanomolar,366227,=,1,True,=,,IC50,nM,,14000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,14.0
,1424236,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1c2ccccc2C(OCCc2ccccn2)(c2ccc(Cl)cc2)N1Cc1ccccc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.07', 'le': '0.19', 'lle': '-1.27', 'sei': '10.80'}",CHEMBL361115,,CHEMBL361115,4.58,False,http://www.openphacts.org/units/Nanomolar,366233,=,1,True,=,,IC50,nM,,26200.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,26.2
,1424237,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.86', 'le': '0.18', 'lle': '-0.73', 'sei': '6.96'}",CHEMBL178106,,CHEMBL178106,4.75,False,http://www.openphacts.org/units/Nanomolar,366238,=,1,True,=,,IC50,nM,,17900.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,17.9
,1424238,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1c2ccccc2C(OCCCO)(c2ccccc2)N1Cc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL180866,,CHEMBL180866,,False,http://www.openphacts.org/units/Nanomolar,366246,=,1,True,=,,IC50,nM,,245000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,245.0
,1424239,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1c2ccccc2C(OCCc2ccccn2)(c2ccccc2)N1Cc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL368017,,CHEMBL368017,,False,http://www.openphacts.org/units/Nanomolar,366256,=,1,True,=,,IC50,nM,,206000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,206.0
,1424242,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL180579,,CHEMBL180579,,False,http://www.openphacts.org/units/Nanomolar,366266,>,1,True,>,,IC50,nM,,500000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,500.0
,1424243,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCc1cc(OC)c(O)c(OC)c1)c1ccccc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.43', 'le': '0.17', 'lle': '-0.60', 'sei': '5.99'}",CHEMBL362452,,CHEMBL362452,4.09,False,http://www.openphacts.org/units/Nanomolar,366172,=,1,True,=,,IC50,nM,,82000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,82.0
