,molecule_chembl_id,canonical_smiles,standard_value,class,MW,LogP,NumHDonors,NumHAcceptors,logIC50
0,CHEMBL179549,CCCN1C(=O)c2ccccc2C1(NC(=O)c1ccc(C(C)(C)C)cc1)c1ccc(OCOCC[Si](C)(C)C)cc1,27000.0,inactive,572.8220000000003,7.172100000000008,1.0,4.0,4.431379848841936
1,CHEMBL360920,CCCN1C(=O)c2ccccc2C1(NC(=O)c1ccccc1)c1ccc(C(C)(C)C)cc1,66000.0,inactive,426.5600000000002,5.481000000000005,1.0,2.0,4.819550515711442
2,CHEMBL182052,CCCOC1(c2ccccc2)c2ccccc2C(=O)N1C(Cc1ccc(O)cc1)C(=O)OC,90000.0,inactive,445.5150000000002,4.260000000000003,1.0,5.0,4.95424733490676
3,CHEMBL179662,OCC(NC1(c2ccccc2)c2ccccc2CC1Cc1ccccc1)C(O)c1ccccc1,85000.0,inactive,449.59400000000016,5.029300000000005,3.0,3.0,4.929424035031084
4,CHEMBL181688,CC(C)(C)c1ccc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,92000.0,inactive,461.6050000000002,7.058000000000007,0.0,2.0,4.963792547912095
5,CHEMBL179114,COc1ccc(C(O)CNC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,70000.0,inactive,464.56500000000017,4.875500000000004,2.0,4.0,4.8451042441768255
6,CHEMBL360719,O=C1c2ccccc2C(OCCCO)(c2ccc(Cl)cc2)N1Cc1ccccc1,15900.0,inactive,407.89700000000005,4.596100000000003,1.0,3.0,4.201424437579911
7,CHEMBL360141,CC(=O)NCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccccc1,14000.0,inactive,456.5860000000002,4.9939000000000044,1.0,3.0,4.1461590556048185
8,CHEMBL361115,O=C1c2ccccc2C(OCCc2ccccn2)(c2ccc(Cl)cc2)N1Cc1ccccc1,26200.0,inactive,454.9570000000001,5.851400000000005,0.0,3.0,4.418317867128679
9,CHEMBL178106,COc1cc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O,17900.0,inactive,481.5480000000003,5.483300000000005,1.0,5.0,4.252877292563761
10,CHEMBL180866,O=C1c2ccccc2C(OCCCO)(c2ccccc2)N1Cc1ccccc1,245000.0,inactive,373.45200000000006,3.942700000000003,1.0,3.0,5.389167856991453
11,CHEMBL368017,O=C1c2ccccc2C(OCCc2ccccn2)(c2ccccc2)N1Cc1ccccc1,206000.0,inactive,420.51200000000006,5.198000000000004,0.0,3.0,5.313869328589677
